case_id,repeat,policy,run_id,log,insertion_success,stalled,stall_episodes,stalled_time_s,first_stall_s,max_wrist_force_n,max_wrist_torque_nm,max_normal_load_n,max_contact_force_n,max_penetration_mm,max_grasp_slip_mm,max_grasp_slip_deg,force_budget_exceeded,torque_budget_exceeded,grasp_retained,numerically_valid,intervention_count,insertion_time_s,time_to_success_s,final_depth_mm,max_depth_mm,active_insertion_time_s,intervention_time_s,outcome,rows,safety_stop,actual_unloading_crossings,verified_unloadings,recovery_failures,retries,evaluable_retries,stalled_retries,max_commanded_retract_mm,max_actual_retract_mm
x_positive_combined,0,fixed,x_positive_combined/repeat0/fixed,x_positive_combined/repeat0/fixed/trajectory.csv,False,True,1,0.15,11.158333333323185,2.639772891998291,0.16668827831745148,12.59008502960205,2.7588436603546143,0.058435078244656324,0.10105250112246722,0.16785874238244658,False,False,False,True,2,9.308333333323048,,17.176778614521027,17.186371237039566,8.05,1.2583333333333333,grasp_retention_limit,1358,True,0,0,,1,1,1,1.0,0.0034086406230926514
x_positive_combined,0,nominal,x_positive_combined/repeat0/nominal,x_positive_combined/repeat0/nominal/trajectory.csv,False,True,1,0.4,9.474999999991383,2.5987117290496826,0.16994065046310425,13.568143844604492,2.7254886627197266,0.06472731911344454,0.09009670611703768,0.17693865179075874,False,False,True,True,0,19.99999999997999,,17.18268319964409,17.191430181264877,8.0,0.0,time_budget_exhausted,2641,False,0,0,,0,0,0,0.0,0.0
x_positive_drift_control,1,fixed,x_positive_drift_control/repeat1/fixed,x_positive_drift_control/repeat1/fixed/trajectory.csv,True,False,0,0.0,,1.3150354623794556,0.08904827386140823,1.1764591932296753,1.4705727100372314,0.002261434474348789,0.02177998612751253,0.07912936237050427,False,False,True,True,0,7.858333333324367,7.858333333324367,19.675148278474808,19.675148278474808,7.858333333333333,0.0,insertion_success,1184,False,0,0,,0,0,0,0.0,0.0
x_positive_drift_control,1,verified,x_positive_drift_control/repeat1/verified,x_positive_drift_control/repeat1/verified/trajectory.csv,True,False,0,0.0,,1.3150354623794556,0.08904827386140823,1.1764591932296753,1.4705727100372314,0.002261434474348789,0.02177998612751253,0.07912936237050427,False,False,True,True,0,7.858333333324367,7.858333333324367,19.675148278474808,19.675148278474808,7.858333333333333,0.0,insertion_success,1184,False,0,0,0,0,0,0,0.0,0.0
x_positive_drift_control,1,nominal,x_positive_drift_control/repeat1/nominal,x_positive_drift_control/repeat1/nominal/trajectory.csv,True,False,0,0.0,,1.3188409805297852,0.0904630497097969,1.1792409420013428,1.4740432500839233,0.0024290864075737773,0.022446662114816718,0.07912936237050427,False,False,True,True,0,7.8499999999910415,7.8499999999910415,19.701843708753586,19.701843708753586,7.85,0.0,insertion_success,1183,False,0,0,,0,0,0,0.0,0.0
y_positive_combined,1,verified,y_positive_combined/repeat1/verified,y_positive_combined/repeat1/verified/trajectory.csv,False,False,0,0.0,,3.8694007396698,0.1562565118074417,12.793744087219238,4.2099995613098145,0.06426851905416697,0.04275553874322213,0.11869404022070311,False,False,True,True,1,12.049999999987222,,16.335097700357437,16.365887224674225,6.8,5.25,unloading_budget_exhausted,1687,False,0,0,1,0,0,0,5.0,0.02954527735710144
y_positive_combined,1,fixed,y_positive_combined/repeat1/fixed,y_positive_combined/repeat1/fixed/trajectory.csv,False,True,2,0.7583333333333333,10.55833333332373,3.6798341274261475,0.17872267961502075,16.67090606689453,3.967053174972534,0.08530813647666946,0.053365114581538364,0.16312936999074168,False,False,True,True,2,19.99999999997999,,16.365615278482437,16.374153643846512,8.683333333333334,2.5,time_budget_exhausted,2641,False,0,0,,2,2,2,1.0,0.008109956979751587
y_positive_combined,1,nominal,y_positive_combined/repeat1/nominal,y_positive_combined/repeat1/nominal/trajectory.csv,False,True,1,1.0333333333333332,8.841666666658625,3.702772378921509,0.156391903758049,16.364242553710938,3.998408555984497,0.08353835437446833,0.053296313126338646,0.15825873808122176,False,False,True,True,0,19.99999999997999,,16.353821009397507,16.356760263442993,8.0,0.0,time_budget_exhausted,2641,False,0,0,,0,0,0,0.0,0.0
x_positive_combined,1,fixed,x_positive_combined/repeat1/fixed,x_positive_combined/repeat1/fixed/trajectory.csv,False,True,1,0.15,11.158333333323185,2.639772891998291,0.16668827831745148,12.59008502960205,2.7588436603546143,0.058435078244656324,0.10105250112246722,0.16785874238244658,False,False,False,True,2,9.308333333323048,,17.176778614521027,17.186371237039566,8.05,1.2583333333333333,grasp_retention_limit,1358,True,0,0,,1,1,1,1.0,0.0034086406230926514
x_positive_combined,1,nominal,x_positive_combined/repeat1/nominal,x_positive_combined/repeat1/nominal/trajectory.csv,False,True,1,0.4,9.474999999991383,2.686657428741455,0.16668827831745148,12.722184181213379,2.7998125553131104,0.059156183851882815,0.09595482697477564,0.17245846124184028,False,False,True,True,0,19.99999999997999,,17.17936024069786,17.186371237039566,8.0,0.0,time_budget_exhausted,2641,False,0,0,,0,0,0,0.0,0.0
x_positive_combined,1,verified,x_positive_combined/repeat1/verified,x_positive_combined/repeat1/verified/trajectory.csv,False,False,0,0.0,,3.1707425117492676,0.16994065046310425,10.595537185668945,3.216499090194702,0.05004547710996121,0.07869346882216632,0.14803749339042993,False,False,True,True,1,12.649999999986676,,17.0722134411335,17.191430181264877,7.3999999999999995,5.25,unloading_budget_exhausted,1759,False,0,0,1,0,0,0,5.0,0.11803209781646729
y_negative_tilt,1,nominal,y_negative_tilt/repeat1/nominal,y_negative_tilt/repeat1/nominal/trajectory.csv,False,True,1,0.5916666666666667,9.28333333332489,3.4483203887939453,0.1435348242521286,16.214092254638672,3.8684370517730713,0.08058892854023725,0.05135238097864203,0.11869404022070311,False,False,True,True,0,19.99999999997999,,16.969328373670578,17.298878729343414,8.0,0.0,time_budget_exhausted,2641,False,0,0,,0,0,0,0.0,0.0
y_negative_tilt,1,verified,y_negative_tilt/repeat1/verified,y_negative_tilt/repeat1/verified/trajectory.csv,False,True,1,0.025,9.28333333332489,3.9279191493988037,0.14649538695812225,13.962629318237305,4.179220676422119,0.06898772699059919,0.04886022361461073,0.10467831195095843,False,False,True,True,1,12.549999999986767,,17.010734975337982,17.298878729343414,7.3,5.25,unloading_budget_exhausted,1747,False,0,0,1,0,0,0,5.0,0.2683475613594055
y_negative_tilt,1,fixed,y_negative_tilt/repeat1/fixed,y_negative_tilt/repeat1/fixed/trajectory.csv,False,True,3,0.5583333333333333,9.291666666658216,3.6218199729919434,0.17472612857818604,16.010051727294922,3.952012777328491,0.08072001219261438,0.054941348935244605,0.11869404022070311,False,False,True,True,2,19.99999999997999,,17.029007524251938,17.304041981697083,8.966666666666667,2.5,time_budget_exhausted,2641,False,0,0,,2,2,2,1.0,0.034749507904052734
