trajectory_id,slot,retry,family,offset_x_mm,offset_y_mm,roll_deg,pitch_deg,insertion_duration_s,sampling_slot,sample_role,split_group_id
slot034_try00,34,0,tilt_only,0.0,0.0,0.0,1.6793571591321752,8.0,34,characterization,slot034
slot035_try00,35,0,offset_tilt,-0.5731300583743123,0.5731300583743123,0.0,3.2577068427549563,8.0,35,characterization,slot035
slot036_try00,36,0,centered,0.0,0.0,0.0,0.0,8.0,36,repeatability_control,centered_controls
slot037_try00,37,0,x_offset,0.41044764992045735,0.0,0.0,0.0,8.0,37,characterization,slot037
slot038_try00,38,0,y_offset,0.0,0.1037401129469758,0.0,0.0,8.0,38,characterization,slot038
slot039_try00,39,0,diagonal_offset,-0.5545869176486454,-0.5545869176486454,0.0,0.0,8.0,39,characterization,slot039
slot040_try00,40,0,tilt_only,0.0,0.0,-2.8917407894625375,0.0,8.0,40,characterization,slot040
slot041_try00,41,0,offset_tilt,-0.5460242782687923,-0.5460242782687923,0.0,2.496296987074211,8.0,41,characterization,slot041
slot042_try00,42,0,centered,0.0,0.0,0.0,0.0,8.0,42,repeatability_control,centered_controls
slot043_try00,43,0,x_offset,-0.9633753823147281,0.0,0.0,0.0,8.0,43,characterization,slot043
slot044_try00,44,0,y_offset,0.0,-0.31704289433961996,0.0,0.0,8.0,44,characterization,slot044
slot045_try00,45,0,diagonal_offset,0.6353102155056013,-0.6353102155056013,0.0,0.0,8.0,45,characterization,slot045
slot046_try00,46,0,tilt_only,0.0,0.0,0.0,-1.27621950222687,8.0,46,characterization,slot046
slot047_try00,47,0,offset_tilt,0.25560670769822824,-0.25560670769822824,0.0,1.4389780416962616,8.0,47,characterization,slot047
slot048_try00,48,0,x_offset,0.5367323167498425,0.0,0.0,0.0,8.0,49,characterization,slot048
slot049_try00,49,0,y_offset,0.0,0.4771642268969194,0.0,0.0,8.0,50,characterization,slot049
slot050_try00,50,0,diagonal_offset,0.5516971156315889,0.5516971156315889,0.0,0.0,8.0,51,characterization,slot050
slot051_try00,51,0,tilt_only,0.0,0.0,0.5550446918630467,0.0,8.0,52,characterization,slot051
slot052_try00,52,0,offset_tilt,0.08129874896641769,0.08129874896641769,-3.135280371826983,0.0,8.0,53,characterization,slot052
slot053_try00,53,0,x_offset,-0.6138493531231427,0.0,0.0,0.0,8.0,55,characterization,slot053
slot054_try00,54,0,y_offset,0.0,-0.17519738870331208,0.0,0.0,8.0,56,characterization,slot054
slot055_try00,55,0,diagonal_offset,-0.4274381922989471,0.4274381922989471,0.0,0.0,8.0,57,characterization,slot055
slot056_try00,56,0,tilt_only,0.0,0.0,0.0,1.075885572800923,8.0,58,characterization,slot056
slot057_try00,57,0,offset_tilt,-0.08898289024451483,0.08898289024451483,-2.0306901981813117,0.0,8.0,59,characterization,slot057
slot058_try00,58,0,x_offset,0.5585542623690949,0.0,0.0,0.0,8.0,61,characterization,slot058
slot059_try00,59,0,y_offset,0.0,0.32581467448785395,0.0,0.0,8.0,62,characterization,slot059
slot060_try00,60,0,diagonal_offset,-0.6838130334854768,-0.6838130334854768,0.0,0.0,8.0,63,characterization,slot060
slot061_try00,61,0,tilt_only,0.0,0.0,-0.34336061360042724,0.0,8.0,64,characterization,slot061
slot062_try00,62,0,offset_tilt,-0.595925055770142,-0.595925055770142,-1.1880103018918606,0.0,8.0,65,characterization,slot062
slot063_try00,63,0,x_offset,-0.6114748060660882,0.0,0.0,0.0,8.0,67,characterization,slot063
slot064_try00,64,0,y_offset,0.0,-0.24748462451742564,0.0,0.0,8.0,68,characterization,slot064
slot065_try00,65,0,diagonal_offset,0.6916929679092041,-0.6916929679092041,0.0,0.0,8.0,69,characterization,slot065
slot066_try00,66,0,tilt_only,0.0,0.0,0.0,-0.4321777303395501,8.0,70,characterization,slot066
slot067_try00,67,0,offset_tilt,0.5944942431572773,-0.5944942431572773,-2.130527900193087,0.0,8.0,71,characterization,slot067
slot068_try00,68,0,x_offset,0.7645967366942434,0.0,0.0,0.0,8.0,73,characterization,slot068
slot069_try00,69,0,y_offset,0.0,0.12517108111822509,0.0,0.0,8.0,74,characterization,slot069
slot070_try00,70,0,diagonal_offset,0.3748384522356429,0.3748384522356429,0.0,0.0,8.0,75,characterization,slot070
slot071_try00,71,0,tilt_only,0.0,0.0,2.073272869308883,0.0,8.0,76,characterization,slot071
slot072_try00,72,0,offset_tilt,0.12076612441605024,0.12076612441605024,0.0,-0.4259549748795561,8.0,77,characterization,slot072
slot073_try00,73,0,x_offset,-0.20331650128958045,0.0,0.0,0.0,8.0,79,characterization,slot073
slot074_try00,74,0,y_offset,0.0,-0.5108227814808471,0.0,0.0,8.0,80,characterization,slot074
slot075_try00,75,0,diagonal_offset,-0.5389598057122834,0.5389598057122834,0.0,0.0,8.0,81,characterization,slot075
slot076_try00,76,0,tilt_only,0.0,0.0,0.0,3.405456945021944,8.0,82,characterization,slot076
slot077_try00,77,0,offset_tilt,-0.5298514528896493,0.5298514528896493,0.0,-2.3298679099276756,8.0,83,characterization,slot077
slot078_try00,78,0,x_offset,0.3627991377567491,0.0,0.0,0.0,8.0,85,characterization,slot078
slot079_try00,79,0,y_offset,0.0,0.2753005744299152,0.0,0.0,8.0,86,characterization,slot079
slot080_try00,80,0,diagonal_offset,-0.3235009087579844,-0.3235009087579844,0.0,0.0,8.0,87,characterization,slot080
slot081_try00,81,0,tilt_only,0.0,0.0,-1.9475889515619211,0.0,8.0,88,characterization,slot081
slot082_try00,82,0,offset_tilt,-0.4888774991487742,-0.4888774991487742,0.0,-0.8952396607248154,8.0,89,characterization,slot082
slot083_try00,83,0,x_offset,-0.4503275241119091,0.0,0.0,0.0,8.0,91,characterization,slot083
slot084_try00,84,0,y_offset,0.0,-0.9285987973896798,0.0,0.0,8.0,92,characterization,slot084
slot085_try00,85,0,diagonal_offset,0.23724250603189867,-0.23724250603189867,0.0,0.0,8.0,93,characterization,slot085
slot086_try00,86,0,tilt_only,0.0,0.0,0.0,-2.483185874442199,8.0,94,characterization,slot086
slot087_try00,87,0,offset_tilt,0.5041717358936012,-0.5041717358936012,0.0,-3.050696496209753,8.0,95,characterization,slot087
slot088_try00,88,0,x_offset,0.6198219746337602,0.0,0.0,0.0,8.0,97,characterization,slot088
slot089_try00,89,0,y_offset,0.0,0.7823363537906097,0.0,0.0,8.0,98,characterization,slot089
slot090_try00,90,0,diagonal_offset,0.6891023357536068,0.6891023357536068,0.0,0.0,8.0,99,characterization,slot090
slot091_try00,91,0,tilt_only,0.0,0.0,3.1924040876624575,0.0,8.0,100,characterization,slot091
slot092_try00,92,0,offset_tilt,0.28438135538502607,0.28438135538502607,2.606014676289489,0.0,8.0,101,characterization,slot092
slot093_try00,93,0,x_offset,-0.6051016208648774,0.0,0.0,0.0,8.0,103,characterization,slot093
slot094_try00,94,0,y_offset,0.0,-0.5608778983040522,0.0,0.0,8.0,104,characterization,slot094
slot095_try00,95,0,diagonal_offset,-0.5299711797840101,0.5299711797840101,0.0,0.0,8.0,105,characterization,slot095
slot096_try00,96,0,tilt_only,0.0,0.0,0.0,3.402399336088454,8.0,106,characterization,slot096
slot097_try00,97,0,offset_tilt,-0.28822682889638496,0.28822682889638496,3.9141060878160507,0.0,8.0,107,characterization,slot097
slot098_try00,98,0,tilt_only,0.0,0.0,-1.2673857561087387,0.0,8.0,112,characterization,slot098
slot099_try00,99,0,offset_tilt,-0.13668124019861957,-0.13668124019861957,2.5058012691349103,0.0,8.0,113,characterization,slot099
